,Depth(ft),Density(g/cm3),GR(API),R Ild(ohm),dt(ft)
0,7756.89,2.47989019315719,76.6772197884612,13.7507352252863,76.7096474456511
1,7757.35,2.48318869528393,68.7483074148008,16.4251470480861,75.9154630062541
2,7757.81,2.48694534877262,66.865319216706,20.5736090956761,75.9155238924077
3,7757.84,2.4904272869364,66.865319216706,20.5736090956761,75.9155238924077
4,7757.87,2.49409248808235,66.865319216706,20.5736090956761,76.0827631910197
6,7757.89,2.50151452795881,66.865319216706,20.5736090956761,76.0827631910197
7,7758.18,2.50462984022516,74.0339530787789,24.447822571183,76.3336177899268
8,7758.26,2.50870735566032,74.0339530787789,24.447822571183,76.6262669919484
10,7758.31,2.5162210160596,74.2584558323943,25.9220708254094,76.6262669919484
11,7758.33,2.51924480773623,74.2584558323943,25.9220708254094,76.6262669919484
12,7758.34,2.52396376188942,74.2584558323943,25.9220708254094,76.6262669919484
13,7758.38,2.5275373278882,76.4177095466981,25.9220708254094,77.5041537118598
14,7758.39,2.53042367659364,76.4177095466981,25.9220708254094,77.5041537118598
16,7758.42,2.538624571348,78.9051782745585,25.9220708254094,77.5041537118598
17,7758.45,2.54183161869462,80.7880486154727,25.9220708254094,77.5041537118598
18,7758.46,2.5526898035352,80.7880486154727,27.2934639150526,77.6713843124499
20,7758.47,2.55640082712952,80.7880486154727,27.2934639150526,77.6713843124499
21,7758.48,2.54563426524915,80.7880486154727,27.2934639150526,77.6713843124499
22,7758.63,2.55914966705417,80.7880486154727,28.6991397833563,79.3435424519777
23,7758.77,2.56331878838779,81.7380535150511,28.6991397833563,81.433733602871
24,7758.79,2.57161132072673,81.7380535150511,28.6991397833563,81.433733602871
25,7758.8,2.57504745106649,81.7380535150511,28.6991397833563,81.433733602871
27,7758.83,2.5783003135493,81.7380535150511,28.6991397833563,81.6009555054392
28,7758.86,2.5824236636198,90.1850848413362,28.6991397833563,81.9312028892145
29,7758.88,2.58572234367619,87.075732860077,28.6991397833563,81.9312028892145
30,7759.22,2.5896164937587,92.4134397561321,29.7278689728224,83.2271661106011
31,7759.23,2.60074956697905,92.4134397561321,29.7278689728224,83.2271661106011
32,7759.26,2.60501036002074,92.4134397561321,29.7278689728224,83.2271661106011
33,7759.27,2.59364820380724,92.4134397561321,29.7278689728224,83.2271661106011
34,7759.28,2.59767993335492,92.4134397561321,29.7278689728224,83.2271661106011
35,7759.3,2.60995838010533,93.035212805414,29.7278689728224,83.2271661106011
36,7759.32,2.61472314695733,93.035212805414,29.7278689728224,83.2271661106011
38,7759.36,2.62264914845714,93.035212805414,29.7278689728224,84.3140693361952
39,7759.37,2.62649761502265,93.035212805414,29.7278689728224,84.3140693361952
40,7759.61,2.62979620733292,96.5245716444653,27.6025620397001,84.8575470430582
41,7759.76,2.63323227917526,96.679948707785,27.6025620397001,85.0665896428067
42,7760.11,2.6302083388177,97.8545604426449,25.6144818216381,85.2756583366211
43,7760.24,2.61889194899254,97.8545604426449,25.6144818216381,85.2756583366211
44,7760.25,2.62535187588372,98.1135808883324,25.6144818216381,85.2756583366211
45,7760.28,2.60381875212298,98.1135808883324,24.6889560554191,85.2756583366211
46,7760.29,2.61499764047952,98.1135808883324,24.6889560554191,85.2756583366211
48,7760.31,2.61096590118228,98.1135808883324,24.6889560554191,85.2756583366211
51,7760.51,2.59685475880058,96.6797987077369,23.3863333811349,85.2756583366211
52,7760.62,2.59300624104983,96.6797987077369,23.3863333811349,85.2756583366211
53,7760.66,2.58934101552996,96.6797987077369,23.3863333811349,85.2756583366211
55,7760.67,2.58269781590704,96.6797987077369,23.3863333811349,85.3593693151575
56,7760.71,2.57852862145164,96.6797987077369,23.3863333811349,85.3593693151575
57,7760.73,2.57468014269917,96.6797987077369,23.3863333811349,85.3593693151575
58,7760.75,2.56826601631984,96.6797987077369,23.3863333811349,85.3593693151575
59,7760.77,2.57142725340505,96.6624250657456,23.3863333811349,85.3593693151575
61,7760.78,2.55282630079811,96.6624250657456,23.3863333811349,85.3175834100648
64,7760.89,2.54884034007617,95.297744085642,23.009434502506,85.3175834100648
65,7761.04,2.54563322204518,95.297744085642,22.0495849860188,85.3176095041306
66,7761.07,2.54205962679769,95.297744085642,22.0495849860188,85.3176095041306
67,7761.16,2.53775296987196,95.297744085642,22.0495849860188,85.3176095041306
68,7761.17,2.53436264248143,95.297744085642,22.0495849860188,85.3176095041306
69,7761.21,2.5311097531873,95.3149355847177,22.0495849860188,85.3176095041306
70,7761.23,2.52739871984341,95.3149355847177,22.0495849860188,85.3176095041306
71,7761.29,2.52295462482128,95.3149355847177,22.0495849860188,85.2758583911257
72,7761.51,2.51924351104344,93.9847998477156,21.8440931720921,85.1922778829184
73,7761.56,2.51566990848378,93.9847998477156,21.8440931720921,85.1922778829184
74,7761.6,2.51324169164114,93.9847998477156,21.8440931720921,85.1922778829184
75,7761.62,2.50911832207151,93.9847998477156,21.8440931720921,85.1922778829184
76,7761.64,2.50508658277426,93.9847998477156,21.8440931720921,85.1087060727331
77,7761.69,2.50128390453363,94.2783762507937,21.8440931720921,85.1087060727331
78,7761.98,2.49711461014514,99.1496182833135,21.8443253445346,85.0669375636843
79,7762.1,2.49395331456251,99.1496182833135,22.8386693263212,85.0251603566135
80,7762.41,2.49024216178639,104.625411253785,23.0445093989117,84.9833918475647
81,7762.72,2.48776801768751,110.170332975777,23.3532046360855,84.8998548294671
82,7763.19,2.48753875188992,118.27181238122,24.1762508107898,84.5236860053918
83,7763.6,2.48932537402141,126.183259276125,24.793572999125,84.6491828890208
84,7764.08,2.49060800284344,133.110077967101,25.0338733940087,85.5689250982004
85,7764.36,2.49308190564047,138.309547258079,25.0338733940087,85.9870015996756
86,7764.87,2.49784647262629,140.883284195703,24.9390775328955,86.6977446992163
87,7765.33,2.501374050434,144.856236642243,24.8365979413809,87.8265121121006
88,7765.6,2.5047642608297,147.671808648931,24.8365979413809,88.4511209350581
89,7765.84,2.50847518936571,148.984602886809,25.0425745859964,89.0364106410795
90,7766.0,2.51191125633327,148.984602886809,25.0425745859964,89.2454532408281
91,7766.49,2.51589697575336,149.019083844175,24.8371100864747,90.0398029426419
92,7766.9,2.51855408547253,147.602424285082,23.9117891782932,90.374272841844
93,7767.37,2.51882878617308,142.800092126463,22.3693236254091,90.7087688351119
94,7767.73,2.51672114366461,134.646579039972,21.478196724072,90.5416165167193
95,7768.26,2.51236848879825,112.587362747614,17.9816264447304,87.4477895745238
96,7768.35,2.50902394485781,112.587362747614,16.8846662994041,87.4477895745238
97,7768.37,2.50572524773967,112.587362747614,16.8846662994041,87.4477895745238
98,7768.45,2.50325119869909,111.257205582034,16.8846662994041,85.1505545539349
99,7768.68,2.50105197954087,101.687267120199,16.4048507987806,84.6071377332255
100,7768.75,2.49830304212052,95.48582965678,16.4048507987806,84.6071377332255
101,7768.79,2.49408803252893,95.48582965678,16.4048507987806,84.6489671284279
103,7768.82,2.4869866742319,95.48582965678,15.4450422539009,84.6489671284279
104,7768.87,2.48300073788388,95.48582965678,15.4450422539009,84.5235659230402
106,7769.17,2.47676975505448,91.2017802263478,15.2737785898249,84.3981734156744
107,7769.41,2.47324189207185,91.2017802263478,16.3023848644685,84.2310297953037
108,7769.7,2.47315014480462,91.2189411131688,16.5082317656602,84.5236963933693
109,7769.95,2.47612802628675,92.7562733087554,16.5082317656602,84.9417728948445
110,7770.26,2.47910588339495,95.1745566524233,17.8113324420319,85.3180547932051
111,7770.37,2.49468298339044,95.1745566524233,17.8113324420319,85.4016700935001
112,7770.38,2.48634462616575,95.1745566524233,17.8113324420319,85.4016700935001
113,7770.39,2.48226707660709,95.1745566524233,17.8113324420319,85.6525072963633
114,7770.43,2.49097193298481,95.1745566524233,17.8113324420319,85.6525072963633
115,7770.66,2.49857715297209,99.6138851869602,17.8800618857833,85.7779432938387
116,7770.75,2.50128020944665,100.46030792868,17.8800618857833,85.9033792913142
117,7770.81,2.5060449592369,100.46030792868,18.7029851456651,85.9033792913142
118,7770.82,2.50929782903189,100.46030792868,18.7029851456651,86.0706098919043
119,7770.83,2.5131462955974,100.46030792868,18.7029851456651,86.0706098919043
120,7771.04,2.51676560604799,100.650245541229,18.7029851456651,86.0706098919043
121,7771.23,2.51988095975001,100.650245541229,19.1145765190298,86.237883982604
